Fold,PCC_Imputed,PCC_NonImputed
1,0.3929,0.5709
2,0.4829,0.6077
3,0.4828,0.6082
4,0.4066,0.6116
5,0.424,0.6199
6,0.507,0.6337
7,0.499,0.6333
8,0.4386,0.613
9,0.4966,0.5736
10,0.4529,0.5836
