Fold,PCC_Imputed,PCC_NonImputed
1,0.4101,0.5827
2,0.4726,0.5941
3,0.4891,0.6213
4,0.3977,0.5868
5,0.4143,0.5805
6,0.5143,0.6278
7,0.4844,0.6234
8,0.4332,0.6213
9,0.5027,0.6331
10,0.4559,0.5995
