Fold,PCC_Imputed,PCC_NonImputed
1,0.4072,0.5783
2,0.4691,0.6001
3,0.4935,0.6005
4,0.4107,0.6129
5,0.4269,0.5793
6,0.5116,0.6725
7,0.512,0.5778
8,0.4367,0.5968
9,0.5018,0.6337
10,0.4576,0.6094
